,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
4098,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,612,69,C5,11 CHARLES STREET                        ,10014,7,0,7,2090,5280,1900,0,2017-02-10
4099,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,614,9,C4,46 BANK STREET                           ,10014,11,0,11,1825,7145,1900,6260000,2017-03-31
4100,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,614,36,C3,235 WEST 11TH   STREET                   ,10014,4,0,4,2025,3760,1916,0,2016-10-17
4101,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,615,64,C4,24-26 JANE STREET                        ,10014,34,0,34,3587,13341,1910,15700000,2016-10-19
4102,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,615,89,C4,255 WEST 12TH   STREET                   ,10014,10,0,10,1750,6925,1900,10,2016-10-06
4103,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,619,16,C7,236 WEST 10TH   STREET                   ,10014,33,4,37,4825,20073,1905,21000000,2017-08-10
4104,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,621,76,C5,81 CHARLES STREET                        ,10014,7,0,7,1905,4040,1910,9000000,2016-12-14
4105,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,622,59,C1,63 PERRY STREET                          ,10014,24,0,24,4750,19888,1905,18000000,2017-04-28
4106,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,623,26,C2,76 BANK STREET                           ,10014,5,0,5,2082,3218,1910,0,2017-04-28
4107,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,623,53,C1,277-279 WEST 11TH   STREET               ,10014,36,0,36,5518,22686,1910,20000000,2017-06-23
4108,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,624,19,C4,601 HUDSON STREET                        ,10014,11,0,11,2250,9550,1930,12750000,2017-04-20
4109,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,624,53,C7,51-53 BANK STREET                        ,10014,22,3,25,2910,15450,1905,0,2017-05-15
4110,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,624,60,C7,65-67 BANK STREET                        ,10014,35,1,36,5000,25614,1910,31000000,2017-03-03
4111,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,626,34,C4,36 HORATIO STREET                        ,10012,16,0,16,2181,8655,1910,0,2017-03-31
4112,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,626,35,C4,34 HORATIO STREET                        ,10012,17,0,17,2188,8455,1910,0,2017-03-31
4113,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,626,38,C1,26-28 HORATIO STREET                     ,10012,24,0,24,4375,18564,1904,0,2017-03-31
4114,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,631,18,C1,714 GREENWICH STREET                     ,10014,10,0,10,1525,6155,1910,10,2016-10-06
4115,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,631,46,C7,519-527 HUDSON STREET                    ,10014,90,6,96,12399,39285,1888,0,2017-02-17
4116,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,634,35,C7,321 WEST 11TH ST                         ,10014,18,2,20,3050,10400,1910,11625000,2017-09-07
4117,1,GREENWICH VILLAGE-WEST   ,07  RENTALS - WALKUP APARTMENTS             ,634,35,C7,321 WEST 11TH ST                         ,10014,18,2,20,3050,10400,1910,0,2017-09-07
4118,1,GREENWICH VILLAGE-WEST   ,08  RENTALS - ELEVATOR APARTMENTS           ,585,1,D7,464 HUDSON STREET                        ,10014,133,5,138,25575,97290,1900,0,2017-02-13
4119,1,GREENWICH VILLAGE-WEST   ,08  RENTALS - ELEVATOR APARTMENTS           ,592,40,D6,80 GROVE STREET                          ,10014,74,2,76,3427,47808,1929,12576515,2017-01-18
4120,1,GREENWICH VILLAGE-WEST   ,08  RENTALS - ELEVATOR APARTMENTS           ,612,51,D7,12 PERRY ST                              ,10014,21,6,27,3862,17826,1940,24991000,2017-07-10
4121,1,GREENWICH VILLAGE-WEST   ,08  RENTALS - ELEVATOR APARTMENTS           ,612,51,D7,12 PERRY STREET                          ,10014,21,6,27,3862,17826,1940,0,2017-04-11
4122,1,GREENWICH VILLAGE-WEST   ,08  RENTALS - ELEVATOR APARTMENTS           ,626,36,D3,37-39 JANE STREET                        ,10014,47,0,47,8637,41970,1910,0,2017-05-15
4356,1,GREENWICH VILLAGE-WEST   ,11A CONDO-RENTALS                           ,611,1003,RR,130 7 AVENUE SOUTH                       ,10014,5,0,5,2910,12613,2015,0,2016-10-11
4604,1,GREENWICH VILLAGE-WEST   ,14  RENTALS - 4-10 UNIT                     ,636,40,S3,185 CHRISTOPHER STREET                   ,10014,3,1,4,1675,4077,1900,0,2017-02-16
4652,1,GREENWICH VILLAGE-WEST   ,21  OFFICE BUILDINGS                        ,603,28,O3,95 MORTON STREET                         ,10014,0,11,11,20019,154328,1911,205961801,2017-04-05
4653,1,GREENWICH VILLAGE-WEST   ,21  OFFICE BUILDINGS                        ,627,8,O5,32 GANSEVOORT STREET                     ,10014,2,3,5,2225,7875,1910,0,2017-04-20
4654,1,GREENWICH VILLAGE-WEST   ,22  STORE BUILDINGS                         ,589,39,K2,309 AVENUE OF THE AMER                   ,10014,0,1,1,2692,5400,1967,10200000,2017-08-04
4655,1,GREENWICH VILLAGE-WEST   ,22  STORE BUILDINGS                         ,589,40,K4,307 AVENUE OF THE AMER                   ,10014,0,2,2,4067,4550,1920,6800000,2017-08-04
4656,1,GREENWICH VILLAGE-WEST   ,22  STORE BUILDINGS                         ,644,51,K4,12 LITTLE WEST 12TH STR                  ,10014,3,5,8,4723,8920,1899,0,2017-05-02
4657,1,GREENWICH VILLAGE-WEST   ,27  FACTORIES                               ,601,72,F5,39 CLARKSON STREET                       ,10014,0,1,1,5010,29967,1920,29163200,2017-06-16
4660,1,GREENWICH VILLAGE-WEST   ,30  WAREHOUSES                              ,646,1,E1,40 10TH   AVENUE                         ,10014,0,1,1,23541,9600,1900,0,2017-09-11
4668,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,1829,125,A4,221 WEST 113 STREET                      ,10026,1,0,1,1682,3470,1910,0,2016-12-15
4669,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,1829,125,A4,221 WEST 113 STREET                      ,10026,1,0,1,1682,3470,1910,0,2016-12-15
4670,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,1942,56,A5,282 WEST 137TH STREET                    ,10030,1,0,1,1599,3120,1910,0,2017-04-09
4671,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,1942,58,A4,288 W. 137TH STREET                      ,10030,1,0,1,1549,3036,1910,2300000,2016-11-30
4672,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,1947,10,A5,355 WEST 120 STREET                      ,10027,1,0,1,1816,3940,1901,0,2017-09-05
4673,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,1960,41,A9,307 WEST 136 STREET                      ,10030,1,0,1,1665,3200,1910,1510000,2017-01-03
4674,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2023,21,A9,221 WEST 137 STREET                      ,10030,1,0,1,1799,4080,1910,0,2016-10-28
4675,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2024,28,A9,203 WEST 138 STREET                      ,10030,1,0,1,1782,3751,1910,0,2016-11-14
4676,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2024,50,A5,238 WEST 139TH STREET                    ,10030,1,0,1,1699,3620,1910,3050000,2017-01-31
4677,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2041,2,A9,52 EDGECOMBE AVENUE                      ,10030,1,0,1,1224,3744,1901,1600000,2017-09-12
4678,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2041,126,A9,314 WEST 138 STREET                      ,10030,1,0,1,1699,3536,1901,1595790,2017-08-31
4679,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2042,28,A9,114 EDGECOMBE AVENUE                     ,10030,1,0,1,1488,3951,1899,2200000,2017-03-30
4680,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2042,29,A9,112 EDGECOMBE AVENUE                     ,10030,1,0,1,1431,3591,1899,2100000,2017-07-06
4681,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2050,19,A4,311 CONVENT AVENUE                       ,10031,1,0,1,2000,4720,1899,3200000,2017-08-07
4682,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2050,74,A4,34 HAMILTON TERRACE                      ,10031,1,0,1,1900,4122,1899,3535000,2017-03-22
4683,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2050,80,A9,18 HAMILTON TER                          ,10031,1,0,1,1600,4920,1915,0,2016-11-09
4684,1,HARLEM-CENTRAL           ,01  ONE FAMILY DWELLINGS                    ,2051,137,A5,47 BRADHURST AVENUE                      ,10030,1,0,1,1512,3052,1901,0,2016-12-15
4685,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1720,62,B9,10 WEST 122 STREET                       ,10027,2,0,2,2220,5138,1899,1386200,2017-03-24
4686,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1722,135,B1,2006 5 AVENUE                            ,10035,2,0,2,1560,3668,1910,0,2016-10-13
4687,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1727,45,B9,16 WEST 130 STREET                       ,10037,2,0,2,2498,3000,1909,3750000,2017-06-05
4688,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1754,59,B3,30 EAST 130 STREET                       ,10037,2,0,2,1686,3416,1900,2450000,2017-01-30
4689,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1754,116,B1,2040 MADISON AVENUE                      ,10035,2,0,2,1231,3240,1899,1550000,2017-03-30
4690,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1902,40,B1,112 WEST 118TH STREET                    ,10026,2,0,2,1615,3328,1998,2800000,2016-11-16
4691,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1903,155,B2,148 WEST 119TH STREET                    ,10026,2,0,2,1817,5004,1900,3500000,2017-02-08
4692,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1904,19,B1,125 WEST 119 STREET                      ,10026,2,0,2,2018,4980,1901,0,2017-01-11
4693,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1915,34,S2,411 LENOX AVENUE                         ,10037,2,1,3,2377,4002,1910,3650000,2017-02-17
4694,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1916,127,B1,105 WEST 131 STREET                      ,10027,2,0,2,1873,2889,1890,0,2017-01-20
4695,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1937,52,B1,252 WEST 132 STREET                      ,10027,2,0,2,1799,3600,1899,1670000,2017-02-08
4696,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1937,52,B1,252 WEST 132 STREET                      ,10027,2,0,2,1799,3600,1899,1310000,2016-11-16
4697,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1937,123,B3,213 WEST 131 STREET                      ,10027,2,0,2,1665,3460,1914,2175000,2017-06-21
4698,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1941,59,B3,264 WEST 136 STREET                      ,10030,2,0,2,1749,3500,1910,850000,2017-03-27
4699,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1942,16,B1,237 WEST 136 STREET                      ,10030,2,0,2,1599,3200,1899,2000000,2016-12-07
4700,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1949,7,B3,355 WEST 122ND STREET                    ,10027,2,0,2,1615,3840,1899,500000,2016-12-05
4701,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1949,105,B3,359 WEST 122 STREET                      ,10027,2,0,2,1514,3600,1899,0,2017-03-10
4702,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1949,159,S2,360 WEST 123 STREET                      ,10027,2,1,3,1615,2975,1910,0,2016-10-28
4703,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1950,7,B3,357 WEST 123 STREET                      ,10027,2,0,2,1598,3120,1899,2460000,2017-05-17
4704,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,1960,56,B3,310 WEST 137TH STREET                    ,10030,2,0,2,1599,3328,1910,0,2016-10-20
4705,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,2042,124,B1,318 WEST 140 STREET                      ,10030,2,0,2,1499,3000,1899,1625000,2017-04-20
4706,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,2050,101,B1,21 HAMILTON TERRACE                      ,10031,2,0,2,756,4320,1901,3450000,2017-03-31
4707,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,2050,103,B9,27 HAMILTON TERRACE                      ,10031,2,0,2,1343,3400,1899,2000000,2017-06-06
4708,1,HARLEM-CENTRAL           ,02  TWO FAMILY DWELLINGS                    ,2053,65,B9,730 ST NICHOLAS AVENUE                   ,10031,2,0,2,3033,8100,1910,4300000,2017-08-10
4709,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1717,67,C0,80 WEST 119TH STREET                     ,10026,3,0,3,1615,3328,1909,1730000,2017-05-30
4710,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1718,16,C0,59 WEST 119TH STREET                     ,10026,3,0,3,1682,2700,1909,0,2017-04-10
4711,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1718,112,C0,71 WEST 119 STREET                       ,10026,3,0,3,1817,3288,1909,0,2017-03-09
4712,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1723,150,C0,32 WEST 126 STREET                       ,10027,3,0,3,1874,2685,1909,0,2017-03-24
4713,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1724,155,C0,44 WEST 127 STREET                       ,10027,3,0,3,1799,2700,1909,0,2017-09-12
4714,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1725,25,C0,25 WEST 127 STREET                       ,10027,3,0,3,1874,6563,1909,0,2017-03-04
4715,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1725,44,C0,18 WEST 128TH                            ,10027,3,0,3,1749,3400,1899,0,2017-02-28
4716,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1745,126,C0,57 EAST 118TH STREET                     ,10035,3,0,3,2018,4000,2001,2150000,2017-09-12
4717,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1745,127,C0,59 EAST 118 STREET                       ,10035,3,0,3,2018,4000,2001,0,2017-03-28
4718,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1746,23,C0,59 EAST 119 STREET                       ,10035,3,0,3,2086,3764,2002,0,2017-02-03
4719,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1749,23,C0,1937 MADISON AVENUE                      ,10035,3,0,3,1870,3877,1900,0,2017-09-21
4720,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1751,147,C0,62 EAST 127 STREET                       ,10035,3,0,3,1873,3046,1909,2505000,2017-03-27
4721,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1828,122,C0,229 WEST 112 STREET                      ,10026,3,0,3,1817,3600,1910,3250000,2016-12-14
4722,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1903,117,C0,127 WEST 118 STREET                      ,10026,3,0,3,2018,3900,1920,0,2017-05-03
4723,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1903,117,C0,127 WEST 118 STREET                      ,10026,3,0,3,2018,3900,1920,0,2017-02-23
4724,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1904,20,C0,123 WEST 119TH STREET                    ,10026,3,0,3,2018,5090,1910,4150000,2017-09-13
4725,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1908,25,C0,107 WEST 123 STREET                      ,10027,3,0,3,2018,4480,1910,0,2017-06-01
4726,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1911,3,C0,175 WEST 126 ST                          ,10027,3,0,3,1699,2646,1910,2390000,2017-08-11
4727,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1911,4,C0,173 WEST 126 STREET                      ,10027,3,0,3,1699,2596,1910,60000,2017-06-16
4728,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1911,19,C0,129 WEST 126TH STREET                    ,10027,3,0,3,2495,3335,2000,2200000,2016-10-13
4729,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1911,20,C0,125 WEST 126TH STREET                    ,10027,3,0,3,1665,3332,1910,2675000,2016-12-14
4730,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1916,10,C0,153 WEST 131 STREET                      ,10027,3,0,3,1699,3400,1910,1925000,2017-06-27
4731,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1917,19,C0,131 WEST 132ND STREET                    ,10027,3,0,3,1699,3400,1910,1700000,2017-01-17
4732,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1917,54,C0,154 WEST 133RD STREET                    ,10030,3,0,3,1665,3332,1910,0,2017-07-28
4733,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1918,159,C0,194 WEST 134 STREET                      ,10030,3,0,3,1824,3320,2000,1920000,2017-07-26
4734,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1941,43,C0,218 WEST 136 STREET                      ,10030,3,0,3,1665,3332,1910,0,2017-07-13
4735,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,1942,9,C0,257 WEST 136TH STREET                    ,10030,3,0,3,1699,2550,1910,0,2017-07-25
4736,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,2042,9,C0,309 WEST 139TH STREET                    ,10030,3,0,3,1699,4800,1899,0,2017-03-15
4737,1,HARLEM-CENTRAL           ,03  THREE FAMILY DWELLINGS                  ,2051,114,C0,208 EDGECOMBE AVENUE                     ,10030,3,0,3,1152,2202,1901,0,2017-02-17
4742,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1594,29,C7,9 CENTRAL PARK NORTH                     ,10026,29,2,31,6667,23640,1920,13650000,2017-04-27
4743,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1718,47,C3,26 WEST 120 STREET                       ,10027,4,0,4,2194,3465,1909,0,2017-08-17
4744,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1718,119,C3,49 WEST 119 STREET                       ,10026,4,0,4,1682,2700,1909,1320000,2017-02-28
4745,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1718,119,C3,49 WEST 119 STREET                       ,10026,4,0,4,1682,2700,1909,180000,2017-02-28
4746,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1722,1,C7,280 LENOX AVENUE                         ,10027,17,3,20,5800,24122,1900,0,2017-05-22
4747,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1724,146,C3,20 WEST 127TH STREET                     ,10027,4,0,4,1874,4052,1909,0,2017-07-12
4748,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1725,28,C5,17 WEST 127TH STREET                     ,10027,5,0,5,1799,4603,1909,842500,2017-02-15
4749,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1725,28,C5,17 WEST 127 STREET                       ,10027,5,0,5,1799,4603,1909,0,2017-02-15
4750,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1726,22,C3,35 WEST 128 STREET                       ,10027,4,0,4,1249,2058,1910,1431326,2017-08-07
4751,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1727,37,C3,2108 FIFTH AVENUE                        ,10035,4,0,4,1271,5167,1910,2125000,2017-05-15
4752,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1727,40,C2,4 WEST 130 STREET                        ,10037,5,0,5,1666,4008,1910,0,2016-11-16
4753,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1728,15,C5,47 WEST 130TH STREET                     ,10037,14,0,14,1998,4392,1909,0,2016-10-05
4754,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1749,5,C9,3 EAST 124 STREET                        ,10035,4,0,4,2018,2994,1900,1100000,2017-01-10
4755,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1749,9,C4,13 EAST 124TH STREET                     ,10035,16,0,16,2629,8500,1900,4400000,2017-06-06
4756,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1749,107,C2,9 EAST 124TH STREET                      ,10035,6,0,6,2018,2994,1910,2150000,2016-11-22
4757,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1750,60,C5,30 EAST 126                              ,10035,5,0,5,1799,2931,1909,12500,2017-09-12
4758,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1750,66,C5,14 EAST 126 STREET                       ,10035,7,0,7,1873,2919,1909,1500000,2016-12-05
4759,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1751,50,C3,1991 MADISON AVENUE                      ,10035,4,0,4,1444,4408,1930,2675000,2017-05-05
4760,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1751,56,C3,1984 MADISON AVENUE                      ,10035,4,0,4,1700,4400,1909,2597000,2017-08-11
4761,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1753,63,C9,18 EAST 129 STREET                       ,10035,4,0,4,1848,2585,1900,3250000,2017-04-13
4762,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1754,57,C3,2052 MADISON AVENUE                      ,10035,4,0,4,1231,4140,1910,2165000,2017-04-03
4763,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1772,13,C4,129-131 EAST 123 STREET                  ,10035,22,0,22,4205,22002,1920,0,2016-12-28
4764,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1772,50,C3,156 EAST 124 STREET                      ,10035,4,0,4,2153,3424,1900,0,2016-12-28
4765,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1772,55,C7,2026-2030 LEXINGTON AVENUE               ,10029,16,2,18,6330,18000,1920,0,2016-12-28
4766,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1772,150,C1,154 EAST 124 STREET                      ,10035,8,0,8,2153,3424,1900,1506000,2016-12-28
4767,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1821,19,C4,119 WEST 111 STREET                      ,10026,9,0,9,1413,3750,1900,2000000,2017-03-20
4768,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1827,144,C5,226 WEST 112 STREET                      ,10026,8,0,8,1716,3213,1890,1300000,2017-05-30
4769,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1902,37,C3,102 WEST 118 STREET                      ,10026,4,0,4,1716,2550,1910,2298307,2017-05-19
4770,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1903,147,C3,128 WEST 119 STREET                      ,10026,4,0,4,2018,3668,1929,2795000,2017-03-17
4771,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1904,39,C3,108 WEST 120TH STREET                    ,10027,4,0,4,1817,2827,1920,0,2017-04-10
4772,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1905,41,C5,112 WEST 121 STREET                      ,10027,10,0,10,2220,5288,1920,0,2017-07-11
4773,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1905,42,C5,116 WEST 121 STREET                      ,10027,7,0,7,2018,4560,1920,0,2017-06-27
4774,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1908,163,C7,2073 ADAM C POWELL BLVD                  ,10027,11,1,12,1500,5200,1910,925000,2016-12-02
4775,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1911,13,C3,147 WEST 126TH STREET                    ,10027,4,0,4,1682,4070,1910,2820000,2016-10-14
4776,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1911,14,C5,145 WEST 126TH STREET                    ,10027,11,0,11,1499,2286,1910,3003837,2017-02-08
4777,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1911,148,B1,130 W 127 ST                             ,10027,2,0,2,1557,3124,1910,2525000,2016-10-25
4778,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1913,25,C4,111 WEST 128 STREET                      ,10027,4,0,4,2498,4800,1910,3760000,2016-11-29
4779,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1914,144,C5,126 WEST 130TH                           ,10027,4,0,4,1665,2497,1910,1600000,2017-03-24
4780,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1915,25,C2,111 WEST 130 STREET                      ,10027,6,0,6,1998,3025,1939,1525000,2017-03-31
4781,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1915,116,C2,131 WEST 130 STREET                      ,10027,5,0,5,1665,3334,1910,2000000,2017-05-25
4782,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1918,40,C4,106 WEST 134 STREET                      ,10039,19,0,19,9542,21650,1926,0,2017-04-27
4783,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1918,43,C4,112 WEST 134 STREET                      ,10039,10,0,10,4197,10600,1926,0,2017-04-27
4784,1,HARLEM-CENTRAL           ,07  RENTALS - WALKUP APARTMENTS             ,1918,44,C4,114 WEST 134 STREET                      ,10039,10,0,10,2798,10020,1926,0,2017-04-27
